Season,Team,Basic (5yr),3yr,1yr,1B,2B,3B,HR,SO,BB,GB,FB,LD,IFFB,FIP
2019,Angels,101,101,101,100,97,90,105,101,100,100,100,101,98,102
2019,Orioles,102,100,104,101,97,90,111,98,101,102,104,98,103,106
2019,Red Sox,105,105,103,102,114,104,97,99,100,102,99,102,99,99
2019,White Sox,99,99,98,98,93,85,108,101,101,98,103,95,104,103
2019,Indians,100,103,99,100,101,91,101,100,99,102,95,100,93,99
2019,Tigers,100,100,105,102,101,131,97,97,99,100,104,104,108,100
2019,Royals,102,103,103,103,107,111,92,96,99,102,100,105,97,98
2019,Twins,100,99,99,100,104,102,99,100,102,100,101,100,100,100
2019,Yankees,99,99,91,100,92,86,105,100,101,98,101,98,104,102
2019,Athletics,96,93,95,98,102,100,94,100,100,99,99,103,102,98
2019,Mariners,96,95,98,98,93,84,98,103,99,98,101,94,101,98
2019,Rays,95,96,95,97,95,101,93,102,100,97,98,96,100,96
2019,Rangers,109,112,111,105,105,116,105,97,104,102,101,104,102,104
2019,Blue Jays,99,100,101,99,102,100,103,100,98,101,101,99,97,101
2019,Diamondbacks,101,101,99,103,103,119,94,100,100,102,99,104,97,98
2019,Braves,102,103,100,101,102,93,98,100,99,100,98,102,98,99
2019,Cubs,101,98,97,100,99,113,100,99,100,100,99,102,95,100
2019,Reds,105,105,102,99,102,94,112,104,103,98,100,101,104,104
2019,Rockies,113,116,118,107,112,144,109,96,100,106,99,103,90,105
2019,Marlins,95,95,104,101,95,107,91,100,100,101,98,101,98,97
2019,Astros,98,100,104,98,94,97,101,101,99,100,97,100,101,99
2019,Dodgers,97,95,96,98,98,75,106,100,94,98,101,97,104,100
2019,Brewers,101,100,99,98,98,96,103,102,102,97,101,98,104,100
2019,Nationals,101,103,105,102,104,90,104,99,99,99,102,99,99,101
2019,Mets,93,92,95,96,92,84,96,102,98,96,102,94,105,97
2019,Phillies,101,101,102,99,97,102,108,103,100,99,102,98,106,103
2019,Pirates,99,98,100,101,107,94,94,98,103,102,101,99,96,100
2019,Cardinals,95,97,96,101,96,94,93,97,97,101,99,103,102,97
2019,Padres,96,97,93,98,98,90,96,101,103,100,96,101,98,99
2019,Giants,96,96,90,101,101,112,89,100,99,101,97,100,101,95
