playerID,yearID,gameNum,gameID,teamID,lgID,GP,startingPos
abramcj01,2024,0,ALS202407160,WAS,NL,1,
acunaro01,2023,0,ALS202307110,ATL,NL,1,9
acunaro01,2021,0,NLS202107130,ATL,NL,0,
acunaro01,2022,0,NLS202207190,ATL,NL,1,9
albieoz01,2023,0,ALS202307110,ATL,NL,1,
albieoz01,2021,0,NLS202107130,ATL,NL,1,
alcansa01,2022,0,NLS202207190,MIA,NL,1,
alonspe01,2023,0,ALS202307110,NYN,NL,1,
alonspe01,2024,0,ALS202407160,NYN,NL,1,
alonspe01,2022,0,NLS202207190,NYN,NL,1,
altuvjo01,2024,0,ALS202407160,HOU,AL,0,
altuvjo01,2021,0,NLS202107130,HOU,AL,0,
altuvjo01,2022,0,NLS202207190,HOU,AL,0,
alvaryo01,2023,0,ALS202307110,HOU,AL,0,
alvaryo01,2024,0,ALS202407160,HOU,AL,1,10
alvaryo01,2022,0,NLS202207190,HOU,AL,0,
anderti01,2021,0,NLS202107130,CHA,AL,0,
anderti01,2022,0,NLS202207190,CHA,AL,1,6
anderty01,2024,0,ALS202407160,LAA,AL,0,
anderty01,2022,0,NLS202207190,LAN,NL,0,
arciaor01,2023,0,ALS202307110,ATL,NL,1,6
arenano01,2023,0,ALS202307110,SLN,NL,1,5
arenano01,2021,0,NLS202107130,SLN,NL,1,5
arenano01,2022,0,NLS202207190,SLN,NL,0,
arozara01,2023,0,ALS202307110,TBA,AL,1,7
arraelu01,2023,0,ALS202307110,MIA,NL,1,4
arraelu01,2024,0,ALS202407160,SDN,NL,0,
arraelu01,2022,0,NLS202207190,MIN,AL,1,
barnema01,2021,0,NLS202107130,BOS,AL,1,
bassich01,2021,0,NLS202107130,OAK,AL,1,
bautife01,2023,0,ALS202307110,BAL,AL,1,
bednada01,2023,0,ALS202307110,PIT,NL,0,
bednada01,2022,0,NLS202207190,PIT,NL,1,
beninan01,2022,0,NLS202207190,KCA,AL,1,
bettsmo01,2023,0,ALS202307110,LAN,NL,1,8
bettsmo01,2024,0,ALS202407160,LAN,NL,0,
bettsmo01,2021,0,NLS202107130,LAN,NL,0,
bettsmo01,2022,0,NLS202207190,LAN,NL,1,8
bichebo01,2023,0,ALS202307110,TOR,AL,1,
bichebo01,2021,0,NLS202107130,TOR,AL,1,
biebesh01,2021,0,NLS202107130,CLE,AL,0,
blackpa01,2022,0,NLS202207190,OAK,AL,1,
bogaexa01,2021,0,NLS202107130,BOS,AL,1,6
bogaexa01,2022,0,NLS202207190,BOS,AL,1,
bohmal01,2024,0,ALS202407160,PHI,NL,1,5
brantmi02,2021,0,NLS202107130,HOU,AL,0,
bryankr01,2021,0,NLS202107130,CHN,NL,1,
buehlwa01,2021,0,NLS202107130,LAN,NL,0,
burneco01,2023,0,ALS202307110,MIL,NL,0,
burneco01,2024,0,ALS202407160,BAL,AL,1,1
burneco01,2021,0,NLS202107130,MIL,NL,1,
burneco01,2022,0,NLS202207190,MIL,NL,0,
buxtoby01,2022,0,NLS202207190,MIN,AL,1,8
cabremi01,2022,0,NLS202207190,DET,AL,1,
canoye01,2023,0,ALS202307110,BAL,AL,1,
